A1-MAA001888-3_39_F-1-1_S182	A2-MAA001888-3_39_F-1-1_S183	B1-MAA001888-3_39_F-1-1_S184	B16-MAA001888-3_39_F-1-1_S187	B2-MAA001888-3_39_F-1-1_S185	B21-MAA001888-3_39_F-1-1_S188	B3-MAA001888-3_39_F-1-1_S186	C1-MAA001888-3_39_F-1-1_S189	C2-MAA001888-3_39_F-1-1_S190	C20-MAA001888-3_39_F-1-1_S193	C3-MAA001888-3_39_F-1-1_S191	C6-MAA001888-3_39_F-1-1_S192	D1-MAA001888-3_39_F-1-1_S194	D2-MAA001888-3_39_F-1-1_S195	D3-MAA001888-3_39_F-1-1_S196	D5-MAA001888-3_39_F-1-1_S197	E1-MAA001888-3_39_F-1-1_S198	E2-MAA001888-3_39_F-1-1_S199	E3-MAA001888-3_39_F-1-1_S200	F1-MAA001888-3_39_F-1-1_S201	G1-MAA001888-3_39_F-1-1_S202	G11-MAA001888-3_39_F-1-1_S207	G14-MAA001888-3_39_F-1-1_S208	G2-MAA001888-3_39_F-1-1_S203	G22-MAA001888-3_39_F-1-1_S209	G3-MAA001888-3_39_F-1-1_S204	G4-MAA001888-3_39_F-1-1_S205	G6-MAA001888-3_39_F-1-1_S206	H1-MAA001888-3_39_F-1-1_S210	H14-MAA001888-3_39_F-1-1_S213	H2-MAA001888-3_39_F-1-1_S211	H22-MAA001888-3_39_F-1-1_S214	H3-MAA001888-3_39_F-1-1_S212	I1-MAA001888-3_39_F-1-1_S215	I2-MAA001888-3_39_F-1-1_S216	I22-MAA001888-3_39_F-1-1_S218	I3-MAA001888-3_39_F-1-1_S217	J19-MAA001888-3_39_F-1-1_S221	J2-MAA001888-3_39_F-1-1_S219	J20-MAA001888-3_39_F-1-1_S222	J22-MAA001888-3_39_F-1-1_S223	J4-MAA001888-3_39_F-1-1_S220	K1-MAA001888-3_39_F-1-1_S224	K14-MAA001888-3_39_F-1-1_S228	K15-MAA001888-3_39_F-1-1_S229	K17-MAA001888-3_39_F-1-1_S230	K18-MAA001888-3_39_F-1-1_S231	K2-MAA001888-3_39_F-1-1_S225	K3-MAA001888-3_39_F-1-1_S226	K5-MAA001888-3_39_F-1-1_S227	L1-MAA001888-3_39_F-1-1_S232	L15-MAA001888-3_39_F-1-1_S240	L18-MAA001888-3_39_F-1-1_S241	L2-MAA001888-3_39_F-1-1_S233	L20-MAA001888-3_39_F-1-1_S242	L21-MAA001888-3_39_F-1-1_S243	L22-MAA001888-3_39_F-1-1_S244	L3-MAA001888-3_39_F-1-1_S234	L4-MAA001888-3_39_F-1-1_S235	L6-MAA001888-3_39_F-1-1_S236	L7-MAA001888-3_39_F-1-1_S237	L8-MAA001888-3_39_F-1-1_S238	L9-MAA001888-3_39_F-1-1_S239	M1-MAA001888-3_39_F-1-1_S245	M10-MAA001888-3_39_F-1-1_S253	M11-MAA001888-3_39_F-1-1_S254	M12-MAA001888-3_39_F-1-1_S255	M13-MAA001888-3_39_F-1-1_S256	M15-MAA001888-3_39_F-1-1_S257	M19-MAA001888-3_39_F-1-1_S258	M2-MAA001888-3_39_F-1-1_S246	M20-MAA001888-3_39_F-1-1_S259	M22-MAA001888-3_39_F-1-1_S260	M3-MAA001888-3_39_F-1-1_S247	M5-MAA001888-3_39_F-1-1_S248	M6-MAA001888-3_39_F-1-1_S249	M7-MAA001888-3_39_F-1-1_S250	M8-MAA001888-3_39_F-1-1_S251	M9-MAA001888-3_39_F-1-1_S252	N1-MAA001888-3_39_F-1-1_S261	N10-MAA001888-3_39_F-1-1_S270	N11-MAA001888-3_39_F-1-1_S271	N12-MAA001888-3_39_F-1-1_S272	N13-MAA001888-3_39_F-1-1_S273	N15-MAA001888-3_39_F-1-1_S274	N16-MAA001888-3_39_F-1-1_S275	N18-MAA001888-3_39_F-1-1_S276	N19-MAA001888-3_39_F-1-1_S277	N2-MAA001888-3_39_F-1-1_S262	N20-MAA001888-3_39_F-1-1_S278	N21-MAA001888-3_39_F-1-1_S279	N22-MAA001888-3_39_F-1-1_S280	N3-MAA001888-3_39_F-1-1_S263	N4-MAA001888-3_39_F-1-1_S264	N5-MAA001888-3_39_F-1-1_S265	N6-MAA001888-3_39_F-1-1_S266	N7-MAA001888-3_39_F-1-1_S267	N8-MAA001888-3_39_F-1-1_S268	N9-MAA001888-3_39_F-1-1_S269	O1-MAA001888-3_39_F-1-1_S281	O10-MAA001888-3_39_F-1-1_S290	O11-MAA001888-3_39_F-1-1_S291	O12-MAA001888-3_39_F-1-1_S292	O13-MAA001888-3_39_F-1-1_S293	O14-MAA001888-3_39_F-1-1_S294	O15-MAA001888-3_39_F-1-1_S295	O16-MAA001888-3_39_F-1-1_S296	O17-MAA001888-3_39_F-1-1_S297	O18-MAA001888-3_39_F-1-1_S298	O19-MAA001888-3_39_F-1-1_S299	O2-MAA001888-3_39_F-1-1_S282	O20-MAA001888-3_39_F-1-1_S300	O21-MAA001888-3_39_F-1-1_S1	O22-MAA001888-3_39_F-1-1_S2	O3-MAA001888-3_39_F-1-1_S283	O4-MAA001888-3_39_F-1-1_S284	O5-MAA001888-3_39_F-1-1_S285	O6-MAA001888-3_39_F-1-1_S286	O7-MAA001888-3_39_F-1-1_S287	O8-MAA001888-3_39_F-1-1_S288	O9-MAA001888-3_39_F-1-1_S289	P1-MAA001888-3_39_F-1-1_S3	P10-MAA001888-3_39_F-1-1_S12	P11-MAA001888-3_39_F-1-1_S145	P12-MAA001888-3_39_F-1-1_S146	P13-MAA001888-3_39_F-1-1_S147	P14-MAA001888-3_39_F-1-1_S148	P15-MAA001888-3_39_F-1-1_S149	P16-MAA001888-3_39_F-1-1_S150	P17-MAA001888-3_39_F-1-1_S151	P18-MAA001888-3_39_F-1-1_S152	P19-MAA001888-3_39_F-1-1_S153	P2-MAA001888-3_39_F-1-1_S4	P20-MAA001888-3_39_F-1-1_S154	P21-MAA001888-3_39_F-1-1_S155	P22-MAA001888-3_39_F-1-1_S156	P3-MAA001888-3_39_F-1-1_S5	P4-MAA001888-3_39_F-1-1_S6	P5-MAA001888-3_39_F-1-1_S7	P6-MAA001888-3_39_F-1-1_S8	P7-MAA001888-3_39_F-1-1_S9	P8-MAA001888-3_39_F-1-1_S10	P9-MAA001888-3_39_F-1-1_S11	A1-MAA001888-3_39_F-1-1_S182	A2-MAA001888-3_39_F-1-1_S183	B1-MAA001888-3_39_F-1-1_S184	B16-MAA001888-3_39_F-1-1_S187	B2-MAA001888-3_39_F-1-1_S185	B21-MAA001888-3_39_F-1-1_S188	B3-MAA001888-3_39_F-1-1_S186	C1-MAA001888-3_39_F-1-1_S189	C2-MAA001888-3_39_F-1-1_S190	C20-MAA001888-3_39_F-1-1_S193	C3-MAA001888-3_39_F-1-1_S191	C6-MAA001888-3_39_F-1-1_S192	D1-MAA001888-3_39_F-1-1_S194	D2-MAA001888-3_39_F-1-1_S195	D3-MAA001888-3_39_F-1-1_S196	D5-MAA001888-3_39_F-1-1_S197	E1-MAA001888-3_39_F-1-1_S198	E2-MAA001888-3_39_F-1-1_S199	E3-MAA001888-3_39_F-1-1_S200	F1-MAA001888-3_39_F-1-1_S201	G1-MAA001888-3_39_F-1-1_S202	G11-MAA001888-3_39_F-1-1_S207	G14-MAA001888-3_39_F-1-1_S208	G2-MAA001888-3_39_F-1-1_S203	G22-MAA001888-3_39_F-1-1_S209	G3-MAA001888-3_39_F-1-1_S204	G4-MAA001888-3_39_F-1-1_S205	G6-MAA001888-3_39_F-1-1_S206	H1-MAA001888-3_39_F-1-1_S210	H14-MAA001888-3_39_F-1-1_S213	H2-MAA001888-3_39_F-1-1_S211	H22-MAA001888-3_39_F-1-1_S214	H3-MAA001888-3_39_F-1-1_S212	I1-MAA001888-3_39_F-1-1_S215	I2-MAA001888-3_39_F-1-1_S216	I22-MAA001888-3_39_F-1-1_S218	I3-MAA001888-3_39_F-1-1_S217	J19-MAA001888-3_39_F-1-1_S221	J2-MAA001888-3_39_F-1-1_S219	J20-MAA001888-3_39_F-1-1_S222	J22-MAA001888-3_39_F-1-1_S223	J4-MAA001888-3_39_F-1-1_S220	K1-MAA001888-3_39_F-1-1_S224	K14-MAA001888-3_39_F-1-1_S228	K15-MAA001888-3_39_F-1-1_S229	K17-MAA001888-3_39_F-1-1_S230	K18-MAA001888-3_39_F-1-1_S231	K2-MAA001888-3_39_F-1-1_S225	K3-MAA001888-3_39_F-1-1_S226	K5-MAA001888-3_39_F-1-1_S227	L1-MAA001888-3_39_F-1-1_S232	L15-MAA001888-3_39_F-1-1_S240	L18-MAA001888-3_39_F-1-1_S241	L2-MAA001888-3_39_F-1-1_S233	L20-MAA001888-3_39_F-1-1_S242	L21-MAA001888-3_39_F-1-1_S243	L22-MAA001888-3_39_F-1-1_S244	L3-MAA001888-3_39_F-1-1_S234	L4-MAA001888-3_39_F-1-1_S235	L6-MAA001888-3_39_F-1-1_S236	L7-MAA001888-3_39_F-1-1_S237	L8-MAA001888-3_39_F-1-1_S238	L9-MAA001888-3_39_F-1-1_S239	M1-MAA001888-3_39_F-1-1_S245	M10-MAA001888-3_39_F-1-1_S253	M11-MAA001888-3_39_F-1-1_S254	M12-MAA001888-3_39_F-1-1_S255	M13-MAA001888-3_39_F-1-1_S256	M15-MAA001888-3_39_F-1-1_S257	M19-MAA001888-3_39_F-1-1_S258	M2-MAA001888-3_39_F-1-1_S246	M20-MAA001888-3_39_F-1-1_S259	M22-MAA001888-3_39_F-1-1_S260	M3-MAA001888-3_39_F-1-1_S247	M5-MAA001888-3_39_F-1-1_S248	M6-MAA001888-3_39_F-1-1_S249	M7-MAA001888-3_39_F-1-1_S250	M8-MAA001888-3_39_F-1-1_S251	M9-MAA001888-3_39_F-1-1_S252	N1-MAA001888-3_39_F-1-1_S261	N10-MAA001888-3_39_F-1-1_S270	N11-MAA001888-3_39_F-1-1_S271	N12-MAA001888-3_39_F-1-1_S272	N13-MAA001888-3_39_F-1-1_S273	N15-MAA001888-3_39_F-1-1_S274	N16-MAA001888-3_39_F-1-1_S275	N18-MAA001888-3_39_F-1-1_S276	N19-MAA001888-3_39_F-1-1_S277	N2-MAA001888-3_39_F-1-1_S262	N20-MAA001888-3_39_F-1-1_S278	N21-MAA001888-3_39_F-1-1_S279	N22-MAA001888-3_39_F-1-1_S280	N3-MAA001888-3_39_F-1-1_S263	N4-MAA001888-3_39_F-1-1_S264	N5-MAA001888-3_39_F-1-1_S265	N6-MAA001888-3_39_F-1-1_S266	N7-MAA001888-3_39_F-1-1_S267	N8-MAA001888-3_39_F-1-1_S268	N9-MAA001888-3_39_F-1-1_S269	O1-MAA001888-3_39_F-1-1_S281	O10-MAA001888-3_39_F-1-1_S290	O11-MAA001888-3_39_F-1-1_S291	O12-MAA001888-3_39_F-1-1_S292	O13-MAA001888-3_39_F-1-1_S293	O14-MAA001888-3_39_F-1-1_S294	O15-MAA001888-3_39_F-1-1_S295	O16-MAA001888-3_39_F-1-1_S296	O17-MAA001888-3_39_F-1-1_S297	O18-MAA001888-3_39_F-1-1_S298	O19-MAA001888-3_39_F-1-1_S299	O2-MAA001888-3_39_F-1-1_S282	O20-MAA001888-3_39_F-1-1_S300	O21-MAA001888-3_39_F-1-1_S1	O22-MAA001888-3_39_F-1-1_S2	O3-MAA001888-3_39_F-1-1_S283	O4-MAA001888-3_39_F-1-1_S284	O5-MAA001888-3_39_F-1-1_S285	O6-MAA001888-3_39_F-1-1_S286	O7-MAA001888-3_39_F-1-1_S287	O8-MAA001888-3_39_F-1-1_S288	O9-MAA001888-3_39_F-1-1_S289	P1-MAA001888-3_39_F-1-1_S3	P10-MAA001888-3_39_F-1-1_S12	P11-MAA001888-3_39_F-1-1_S145	P12-MAA001888-3_39_F-1-1_S146	P13-MAA001888-3_39_F-1-1_S147	P14-MAA001888-3_39_F-1-1_S148	P15-MAA001888-3_39_F-1-1_S149	P16-MAA001888-3_39_F-1-1_S150	P17-MAA001888-3_39_F-1-1_S151	P18-MAA001888-3_39_F-1-1_S152	P19-MAA001888-3_39_F-1-1_S153	P2-MAA001888-3_39_F-1-1_S4	P20-MAA001888-3_39_F-1-1_S154	P21-MAA001888-3_39_F-1-1_S155	P22-MAA001888-3_39_F-1-1_S156	P3-MAA001888-3_39_F-1-1_S5	P4-MAA001888-3_39_F-1-1_S6	P5-MAA001888-3_39_F-1-1_S7	P6-MAA001888-3_39_F-1-1_S8	P7-MAA001888-3_39_F-1-1_S9	P8-MAA001888-3_39_F-1-1_S10	P9-MAA001888-3_39_F-1-1_S11
EXP_ID	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0068_AH3YKKDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX	170928_A00111_0069_BH52YMDMXX
TAXON	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus
