A11-D045139-3_39_F-1-1_S119	A12-D045139-3_39_F-1-1_S120	A13-D045139-3_39_F-1-1_S121	A14-D045139-3_39_F-1-1_S122	A15-D045139-3_39_F-1-1_S123	A17-D045139-3_39_F-1-1_S124	A19-D045139-3_39_F-1-1_S125	A20-D045139-3_39_F-1-1_S126	A21-D045139-3_39_F-1-1_S127	A3-D045139-3_39_F-1-1_S115	A7-D045139-3_39_F-1-1_S116	A8-D045139-3_39_F-1-1_S117	A9-D045139-3_39_F-1-1_S118	B10-D045139-3_39_F-1-1_S131	B18-D045139-3_39_F-1-1_S132	B20-D045139-3_39_F-1-1_S133	B22-D045139-3_39_F-1-1_S134	B3-D045139-3_39_F-1-1_S128	B7-D045139-3_39_F-1-1_S129	B8-D045139-3_39_F-1-1_S130	C11-D045139-3_39_F-1-1_S137	C12-D045139-3_39_F-1-1_S138	C14-D045139-3_39_F-1-1_S139	C16-D045139-3_39_F-1-1_S140	C17-D045139-3_39_F-1-1_S141	C19-D045139-3_39_F-1-1_S142	C22-D045139-3_39_F-1-1_S143	C4-D045139-3_39_F-1-1_S135	C9-D045139-3_39_F-1-1_S136	D10-D045139-3_39_F-1-1_S147	D12-D045139-3_39_F-1-1_S148	D17-D045139-3_39_F-1-1_S149	D20-D045139-3_39_F-1-1_S150	D7-D045139-3_39_F-1-1_S144	D8-D045139-3_39_F-1-1_S145	D9-D045139-3_39_F-1-1_S146	E10-D045139-3_39_F-1-1_S154	E17-D045139-3_39_F-1-1_S155	E20-D045139-3_39_F-1-1_S156	E21-D045139-3_39_F-1-1_S157	E5-D045139-3_39_F-1-1_S151	E6-D045139-3_39_F-1-1_S152	E8-D045139-3_39_F-1-1_S153	F10-D045139-3_39_F-1-1_S161	F12-D045139-3_39_F-1-1_S162	F13-D045139-3_39_F-1-1_S163	F16-D045139-3_39_F-1-1_S164	F19-D045139-3_39_F-1-1_S165	F4-D045139-3_39_F-1-1_S158	F7-D045139-3_39_F-1-1_S159	F8-D045139-3_39_F-1-1_S160	G12-D045139-3_39_F-1-1_S168	G13-D045139-3_39_F-1-1_S169	G17-D045139-3_39_F-1-1_S170	G18-D045139-3_39_F-1-1_S171	G19-D045139-3_39_F-1-1_S172	G20-D045139-3_39_F-1-1_S173	G22-D045139-3_39_F-1-1_S174	G7-D045139-3_39_F-1-1_S166	G9-D045139-3_39_F-1-1_S167	H11-D045139-3_39_F-1-1_S179	H12-D045139-3_39_F-1-1_S180	H16-D045139-3_39_F-1-1_S181	H17-D045139-3_39_F-1-1_S182	H6-D045139-3_39_F-1-1_S175	H7-D045139-3_39_F-1-1_S176	H8-D045139-3_39_F-1-1_S177	H9-D045139-3_39_F-1-1_S178	I11-D045139-3_39_F-1-1_S186	I12-D045139-3_39_F-1-1_S187	I19-D045139-3_39_F-1-1_S188	I22-D045139-3_39_F-1-1_S189	I7-D045139-3_39_F-1-1_S183	I8-D045139-3_39_F-1-1_S184	I9-D045139-3_39_F-1-1_S185	J13-D045139-3_39_F-1-1_S192	J15-D045139-3_39_F-1-1_S193	J19-D045139-3_39_F-1-1_S194	J20-D045139-3_39_F-1-1_S195	J21-D045139-3_39_F-1-1_S196	J22-D045139-3_39_F-1-1_S197	J8-D045139-3_39_F-1-1_S190	J9-D045139-3_39_F-1-1_S191	K11-D045139-3_39_F-1-1_S200	K12-D045139-3_39_F-1-1_S201	K13-D045139-3_39_F-1-1_S202	K15-D045139-3_39_F-1-1_S203	K16-D045139-3_39_F-1-1_S204	K19-D045139-3_39_F-1-1_S205	K22-D045139-3_39_F-1-1_S206	K4-D045139-3_39_F-1-1_S198	K8-D045139-3_39_F-1-1_S199	L10-D045139-3_39_F-1-1_S210	L11-D045139-3_39_F-1-1_S211	L12-D045139-3_39_F-1-1_S212	L13-D045139-3_39_F-1-1_S213	L17-D045139-3_39_F-1-1_S214	L18-D045139-3_39_F-1-1_S215	L5-D045139-3_39_F-1-1_S207	L8-D045139-3_39_F-1-1_S208	L9-D045139-3_39_F-1-1_S209	M10-D045139-3_39_F-1-1_S219	M11-D045139-3_39_F-1-1_S220	M12-D045139-3_39_F-1-1_S221	M13-D045139-3_39_F-1-1_S222	M15-D045139-3_39_F-1-1_S223	M17-D045139-3_39_F-1-1_S224	M19-D045139-3_39_F-1-1_S225	M22-D045139-3_39_F-1-1_S226	M7-D045139-3_39_F-1-1_S216	M8-D045139-3_39_F-1-1_S217	M9-D045139-3_39_F-1-1_S218	N11-D045139-3_39_F-1-1_S229	N12-D045139-3_39_F-1-1_S230	N16-D045139-3_39_F-1-1_S231	N17-D045139-3_39_F-1-1_S232	N19-D045139-3_39_F-1-1_S233	N20-D045139-3_39_F-1-1_S234	N21-D045139-3_39_F-1-1_S235	N7-D045139-3_39_F-1-1_S227	N9-D045139-3_39_F-1-1_S228	O11-D045139-3_39_F-1-1_S238	O12-D045139-3_39_F-1-1_S239	O13-D045139-3_39_F-1-1_S240	O17-D045139-3_39_F-1-1_S73	O18-D045139-3_39_F-1-1_S74	O19-D045139-3_39_F-1-1_S75	O20-D045139-3_39_F-1-1_S76	O7-D045139-3_39_F-1-1_S236	O8-D045139-3_39_F-1-1_S237	P10-D045139-3_39_F-1-1_S79	P11-D045139-3_39_F-1-1_S80	P15-D045139-3_39_F-1-1_S81	P16-D045139-3_39_F-1-1_S82	P18-D045139-3_39_F-1-1_S83	P19-D045139-3_39_F-1-1_S84	P20-D045139-3_39_F-1-1_S85	P21-D045139-3_39_F-1-1_S86	P7-D045139-3_39_F-1-1_S77	P8-D045139-3_39_F-1-1_S78	A11-D045139-3_39_F-1-1_S119	A12-D045139-3_39_F-1-1_S120	A13-D045139-3_39_F-1-1_S121	A14-D045139-3_39_F-1-1_S122	A15-D045139-3_39_F-1-1_S123	A17-D045139-3_39_F-1-1_S124	A19-D045139-3_39_F-1-1_S125	A20-D045139-3_39_F-1-1_S126	A21-D045139-3_39_F-1-1_S127	A3-D045139-3_39_F-1-1_S115	A7-D045139-3_39_F-1-1_S116	A8-D045139-3_39_F-1-1_S117	A9-D045139-3_39_F-1-1_S118	B10-D045139-3_39_F-1-1_S131	B18-D045139-3_39_F-1-1_S132	B20-D045139-3_39_F-1-1_S133	B22-D045139-3_39_F-1-1_S134	B3-D045139-3_39_F-1-1_S128	B7-D045139-3_39_F-1-1_S129	B8-D045139-3_39_F-1-1_S130	C11-D045139-3_39_F-1-1_S137	C12-D045139-3_39_F-1-1_S138	C14-D045139-3_39_F-1-1_S139	C16-D045139-3_39_F-1-1_S140	C17-D045139-3_39_F-1-1_S141	C19-D045139-3_39_F-1-1_S142	C22-D045139-3_39_F-1-1_S143	C4-D045139-3_39_F-1-1_S135	C9-D045139-3_39_F-1-1_S136	D10-D045139-3_39_F-1-1_S147	D12-D045139-3_39_F-1-1_S148	D17-D045139-3_39_F-1-1_S149	D20-D045139-3_39_F-1-1_S150	D7-D045139-3_39_F-1-1_S144	D8-D045139-3_39_F-1-1_S145	D9-D045139-3_39_F-1-1_S146	E10-D045139-3_39_F-1-1_S154	E17-D045139-3_39_F-1-1_S155	E20-D045139-3_39_F-1-1_S156	E21-D045139-3_39_F-1-1_S157	E5-D045139-3_39_F-1-1_S151	E6-D045139-3_39_F-1-1_S152	E8-D045139-3_39_F-1-1_S153	F10-D045139-3_39_F-1-1_S161	F12-D045139-3_39_F-1-1_S162	F13-D045139-3_39_F-1-1_S163	F16-D045139-3_39_F-1-1_S164	F19-D045139-3_39_F-1-1_S165	F4-D045139-3_39_F-1-1_S158	F7-D045139-3_39_F-1-1_S159	F8-D045139-3_39_F-1-1_S160	G12-D045139-3_39_F-1-1_S168	G13-D045139-3_39_F-1-1_S169	G17-D045139-3_39_F-1-1_S170	G18-D045139-3_39_F-1-1_S171	G19-D045139-3_39_F-1-1_S172	G20-D045139-3_39_F-1-1_S173	G22-D045139-3_39_F-1-1_S174	G7-D045139-3_39_F-1-1_S166	G9-D045139-3_39_F-1-1_S167	H11-D045139-3_39_F-1-1_S179	H12-D045139-3_39_F-1-1_S180	H16-D045139-3_39_F-1-1_S181	H17-D045139-3_39_F-1-1_S182	H6-D045139-3_39_F-1-1_S175	H7-D045139-3_39_F-1-1_S176	H8-D045139-3_39_F-1-1_S177	H9-D045139-3_39_F-1-1_S178	I11-D045139-3_39_F-1-1_S186	I12-D045139-3_39_F-1-1_S187	I19-D045139-3_39_F-1-1_S188	I22-D045139-3_39_F-1-1_S189	I7-D045139-3_39_F-1-1_S183	I8-D045139-3_39_F-1-1_S184	I9-D045139-3_39_F-1-1_S185	J13-D045139-3_39_F-1-1_S192	J15-D045139-3_39_F-1-1_S193	J19-D045139-3_39_F-1-1_S194	J20-D045139-3_39_F-1-1_S195	J21-D045139-3_39_F-1-1_S196	J22-D045139-3_39_F-1-1_S197	J8-D045139-3_39_F-1-1_S190	J9-D045139-3_39_F-1-1_S191	K11-D045139-3_39_F-1-1_S200	K12-D045139-3_39_F-1-1_S201	K13-D045139-3_39_F-1-1_S202	K15-D045139-3_39_F-1-1_S203	K16-D045139-3_39_F-1-1_S204	K19-D045139-3_39_F-1-1_S205	K22-D045139-3_39_F-1-1_S206	K4-D045139-3_39_F-1-1_S198	K8-D045139-3_39_F-1-1_S199	L10-D045139-3_39_F-1-1_S210	L11-D045139-3_39_F-1-1_S211	L12-D045139-3_39_F-1-1_S212	L13-D045139-3_39_F-1-1_S213	L17-D045139-3_39_F-1-1_S214	L18-D045139-3_39_F-1-1_S215	L5-D045139-3_39_F-1-1_S207	L8-D045139-3_39_F-1-1_S208	L9-D045139-3_39_F-1-1_S209	M10-D045139-3_39_F-1-1_S219	M11-D045139-3_39_F-1-1_S220	M12-D045139-3_39_F-1-1_S221	M13-D045139-3_39_F-1-1_S222	M15-D045139-3_39_F-1-1_S223	M17-D045139-3_39_F-1-1_S224	M19-D045139-3_39_F-1-1_S225	M22-D045139-3_39_F-1-1_S226	M7-D045139-3_39_F-1-1_S216	M8-D045139-3_39_F-1-1_S217	M9-D045139-3_39_F-1-1_S218	N11-D045139-3_39_F-1-1_S229	N12-D045139-3_39_F-1-1_S230	N16-D045139-3_39_F-1-1_S231	N17-D045139-3_39_F-1-1_S232	N19-D045139-3_39_F-1-1_S233	N20-D045139-3_39_F-1-1_S234	N21-D045139-3_39_F-1-1_S235	N7-D045139-3_39_F-1-1_S227	N9-D045139-3_39_F-1-1_S228	O11-D045139-3_39_F-1-1_S238	O12-D045139-3_39_F-1-1_S239	O13-D045139-3_39_F-1-1_S240	O17-D045139-3_39_F-1-1_S73	O18-D045139-3_39_F-1-1_S74	O19-D045139-3_39_F-1-1_S75	O20-D045139-3_39_F-1-1_S76	O7-D045139-3_39_F-1-1_S236	O8-D045139-3_39_F-1-1_S237	P10-D045139-3_39_F-1-1_S79	P11-D045139-3_39_F-1-1_S80	P15-D045139-3_39_F-1-1_S81	P16-D045139-3_39_F-1-1_S82	P18-D045139-3_39_F-1-1_S83	P19-D045139-3_39_F-1-1_S84	P20-D045139-3_39_F-1-1_S85	P21-D045139-3_39_F-1-1_S86	P7-D045139-3_39_F-1-1_S77	P8-D045139-3_39_F-1-1_S78
EXP_ID	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0059_BH3G22DMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX	170918_A00111_0060_AH3FYVDMXX
TAXON	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus
WELL_MAPPING	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139	D045139
