A15-D042467-3_9_M-1-1_S75	B12-D042467-3_9_M-1-1_S76	B22-D042467-3_9_M-1-1_S77	C11-D042467-3_9_M-1-1_S78	C19-D042467-3_9_M-1-1_S79	C20-D042467-3_9_M-1-1_S80	C22-D042467-3_9_M-1-1_S81	D15-D042467-3_9_M-1-1_S84	D16-D042467-3_9_M-1-1_S85	D18-D042467-3_9_M-1-1_S86	D19-D042467-3_9_M-1-1_S87	D20-D042467-3_9_M-1-1_S88	D3-D042467-3_9_M-1-1_S82	D9-D042467-3_9_M-1-1_S83	E12-D042467-3_9_M-1-1_S91	E13-D042467-3_9_M-1-1_S92	E2-D042467-3_9_M-1-1_S89	E8-D042467-3_9_M-1-1_S90	F11-D042467-3_9_M-1-1_S93	F12-D042467-3_9_M-1-1_S94	F16-D042467-3_9_M-1-1_S95	F18-D042467-3_9_M-1-1_S96	F19-D042467-3_9_M-1-1_S97	G11-D042467-3_9_M-1-1_S99	G12-D042467-3_9_M-1-1_S100	G14-D042467-3_9_M-1-1_S101	G16-D042467-3_9_M-1-1_S102	G17-D042467-3_9_M-1-1_S103	G19-D042467-3_9_M-1-1_S104	G20-D042467-3_9_M-1-1_S105	G22-D042467-3_9_M-1-1_S106	G8-D042467-3_9_M-1-1_S98	H11-D042467-3_9_M-1-1_S109	H13-D042467-3_9_M-1-1_S110	H15-D042467-3_9_M-1-1_S111	H16-D042467-3_9_M-1-1_S112	H22-D042467-3_9_M-1-1_S113	H3-D042467-3_9_M-1-1_S107	H9-D042467-3_9_M-1-1_S108	I10-D042467-3_9_M-1-1_S115	I11-D042467-3_9_M-1-1_S116	I13-D042467-3_9_M-1-1_S117	I14-D042467-3_9_M-1-1_S118	I15-D042467-3_9_M-1-1_S119	I16-D042467-3_9_M-1-1_S120	I18-D042467-3_9_M-1-1_S121	I19-D042467-3_9_M-1-1_S122	I21-D042467-3_9_M-1-1_S123	I22-D042467-3_9_M-1-1_S124	I9-D042467-3_9_M-1-1_S114	J10-D042467-3_9_M-1-1_S127	J12-D042467-3_9_M-1-1_S128	J13-D042467-3_9_M-1-1_S129	J14-D042467-3_9_M-1-1_S130	J15-D042467-3_9_M-1-1_S131	J16-D042467-3_9_M-1-1_S132	J18-D042467-3_9_M-1-1_S133	J19-D042467-3_9_M-1-1_S134	J20-D042467-3_9_M-1-1_S135	J21-D042467-3_9_M-1-1_S136	J22-D042467-3_9_M-1-1_S137	J3-D042467-3_9_M-1-1_S125	J9-D042467-3_9_M-1-1_S126	K12-D042467-3_9_M-1-1_S141	K13-D042467-3_9_M-1-1_S142	K14-D042467-3_9_M-1-1_S143	K15-D042467-3_9_M-1-1_S144	K16-D042467-3_9_M-1-1_S145	K17-D042467-3_9_M-1-1_S146	K19-D042467-3_9_M-1-1_S147	K20-D042467-3_9_M-1-1_S148	K21-D042467-3_9_M-1-1_S149	K22-D042467-3_9_M-1-1_S150	K7-D042467-3_9_M-1-1_S138	K8-D042467-3_9_M-1-1_S139	K9-D042467-3_9_M-1-1_S140	L10-D042467-3_9_M-1-1_S153	L11-D042467-3_9_M-1-1_S154	L12-D042467-3_9_M-1-1_S155	L13-D042467-3_9_M-1-1_S156	L14-D042467-3_9_M-1-1_S157	L15-D042467-3_9_M-1-1_S158	L16-D042467-3_9_M-1-1_S159	L19-D042467-3_9_M-1-1_S160	L20-D042467-3_9_M-1-1_S161	L21-D042467-3_9_M-1-1_S162	L22-D042467-3_9_M-1-1_S163	L6-D042467-3_9_M-1-1_S151	L7-D042467-3_9_M-1-1_S152	M10-D042467-3_9_M-1-1_S165	M11-D042467-3_9_M-1-1_S166	M12-D042467-3_9_M-1-1_S167	M14-D042467-3_9_M-1-1_S168	M16-D042467-3_9_M-1-1_S169	M17-D042467-3_9_M-1-1_S170	M18-D042467-3_9_M-1-1_S171	M19-D042467-3_9_M-1-1_S172	M2-D042467-3_9_M-1-1_S164	M20-D042467-3_9_M-1-1_S173	M21-D042467-3_9_M-1-1_S174	M22-D042467-3_9_M-1-1_S175	N13-D042467-3_9_M-1-1_S178	N14-D042467-3_9_M-1-1_S179	N15-D042467-3_9_M-1-1_S180	N16-D042467-3_9_M-1-1_S181	N18-D042467-3_9_M-1-1_S182	N19-D042467-3_9_M-1-1_S183	N2-D042467-3_9_M-1-1_S176	N20-D042467-3_9_M-1-1_S184	N21-D042467-3_9_M-1-1_S185	N7-D042467-3_9_M-1-1_S177	O10-D042467-3_9_M-1-1_S188	O11-D042467-3_9_M-1-1_S189	O12-D042467-3_9_M-1-1_S190	O14-D042467-3_9_M-1-1_S191	O15-D042467-3_9_M-1-1_S192	O16-D042467-3_9_M-1-1_S193	O17-D042467-3_9_M-1-1_S194	O18-D042467-3_9_M-1-1_S195	O19-D042467-3_9_M-1-1_S196	O2-D042467-3_9_M-1-1_S186	O20-D042467-3_9_M-1-1_S197	O21-D042467-3_9_M-1-1_S198	O22-D042467-3_9_M-1-1_S199	O5-D042467-3_9_M-1-1_S187	P11-D042467-3_9_M-1-1_S203	P14-D042467-3_9_M-1-1_S204	P15-D042467-3_9_M-1-1_S205	P19-D042467-3_9_M-1-1_S206	P20-D042467-3_9_M-1-1_S207	P21-D042467-3_9_M-1-1_S208	P22-D042467-3_9_M-1-1_S209	P3-D042467-3_9_M-1-1_S200	P4-D042467-3_9_M-1-1_S201	P8-D042467-3_9_M-1-1_S202	A15-D042467-3_9_M-1-1_S75	B12-D042467-3_9_M-1-1_S76	B22-D042467-3_9_M-1-1_S77	C11-D042467-3_9_M-1-1_S78	C19-D042467-3_9_M-1-1_S79	C20-D042467-3_9_M-1-1_S80	C22-D042467-3_9_M-1-1_S81	D15-D042467-3_9_M-1-1_S84	D16-D042467-3_9_M-1-1_S85	D18-D042467-3_9_M-1-1_S86	D19-D042467-3_9_M-1-1_S87	D20-D042467-3_9_M-1-1_S88	D3-D042467-3_9_M-1-1_S82	D9-D042467-3_9_M-1-1_S83	E12-D042467-3_9_M-1-1_S91	E13-D042467-3_9_M-1-1_S92	E2-D042467-3_9_M-1-1_S89	E8-D042467-3_9_M-1-1_S90	F11-D042467-3_9_M-1-1_S93	F12-D042467-3_9_M-1-1_S94	F16-D042467-3_9_M-1-1_S95	F18-D042467-3_9_M-1-1_S96	F19-D042467-3_9_M-1-1_S97	G11-D042467-3_9_M-1-1_S99	G12-D042467-3_9_M-1-1_S100	G14-D042467-3_9_M-1-1_S101	G16-D042467-3_9_M-1-1_S102	G17-D042467-3_9_M-1-1_S103	G19-D042467-3_9_M-1-1_S104	G20-D042467-3_9_M-1-1_S105	G22-D042467-3_9_M-1-1_S106	G8-D042467-3_9_M-1-1_S98	H11-D042467-3_9_M-1-1_S109	H13-D042467-3_9_M-1-1_S110	H15-D042467-3_9_M-1-1_S111	H16-D042467-3_9_M-1-1_S112	H22-D042467-3_9_M-1-1_S113	H3-D042467-3_9_M-1-1_S107	H9-D042467-3_9_M-1-1_S108	I10-D042467-3_9_M-1-1_S115	I11-D042467-3_9_M-1-1_S116	I13-D042467-3_9_M-1-1_S117	I14-D042467-3_9_M-1-1_S118	I15-D042467-3_9_M-1-1_S119	I16-D042467-3_9_M-1-1_S120	I18-D042467-3_9_M-1-1_S121	I19-D042467-3_9_M-1-1_S122	I21-D042467-3_9_M-1-1_S123	I22-D042467-3_9_M-1-1_S124	I9-D042467-3_9_M-1-1_S114	J10-D042467-3_9_M-1-1_S127	J12-D042467-3_9_M-1-1_S128	J13-D042467-3_9_M-1-1_S129	J14-D042467-3_9_M-1-1_S130	J15-D042467-3_9_M-1-1_S131	J16-D042467-3_9_M-1-1_S132	J18-D042467-3_9_M-1-1_S133	J19-D042467-3_9_M-1-1_S134	J20-D042467-3_9_M-1-1_S135	J21-D042467-3_9_M-1-1_S136	J22-D042467-3_9_M-1-1_S137	J3-D042467-3_9_M-1-1_S125	J9-D042467-3_9_M-1-1_S126	K12-D042467-3_9_M-1-1_S141	K13-D042467-3_9_M-1-1_S142	K14-D042467-3_9_M-1-1_S143	K15-D042467-3_9_M-1-1_S144	K16-D042467-3_9_M-1-1_S145	K17-D042467-3_9_M-1-1_S146	K19-D042467-3_9_M-1-1_S147	K20-D042467-3_9_M-1-1_S148	K21-D042467-3_9_M-1-1_S149	K22-D042467-3_9_M-1-1_S150	K7-D042467-3_9_M-1-1_S138	K8-D042467-3_9_M-1-1_S139	K9-D042467-3_9_M-1-1_S140	L10-D042467-3_9_M-1-1_S153	L11-D042467-3_9_M-1-1_S154	L12-D042467-3_9_M-1-1_S155	L13-D042467-3_9_M-1-1_S156	L14-D042467-3_9_M-1-1_S157	L15-D042467-3_9_M-1-1_S158	L16-D042467-3_9_M-1-1_S159	L19-D042467-3_9_M-1-1_S160	L20-D042467-3_9_M-1-1_S161	L21-D042467-3_9_M-1-1_S162	L22-D042467-3_9_M-1-1_S163	L6-D042467-3_9_M-1-1_S151	L7-D042467-3_9_M-1-1_S152	M10-D042467-3_9_M-1-1_S165	M11-D042467-3_9_M-1-1_S166	M12-D042467-3_9_M-1-1_S167	M14-D042467-3_9_M-1-1_S168	M16-D042467-3_9_M-1-1_S169	M17-D042467-3_9_M-1-1_S170	M18-D042467-3_9_M-1-1_S171	M19-D042467-3_9_M-1-1_S172	M2-D042467-3_9_M-1-1_S164	M20-D042467-3_9_M-1-1_S173	M21-D042467-3_9_M-1-1_S174	M22-D042467-3_9_M-1-1_S175	N13-D042467-3_9_M-1-1_S178	N14-D042467-3_9_M-1-1_S179	N15-D042467-3_9_M-1-1_S180	N16-D042467-3_9_M-1-1_S181	N18-D042467-3_9_M-1-1_S182	N19-D042467-3_9_M-1-1_S183	N2-D042467-3_9_M-1-1_S176	N20-D042467-3_9_M-1-1_S184	N21-D042467-3_9_M-1-1_S185	N7-D042467-3_9_M-1-1_S177	O10-D042467-3_9_M-1-1_S188	O11-D042467-3_9_M-1-1_S189	O12-D042467-3_9_M-1-1_S190	O14-D042467-3_9_M-1-1_S191	O15-D042467-3_9_M-1-1_S192	O16-D042467-3_9_M-1-1_S193	O17-D042467-3_9_M-1-1_S194	O18-D042467-3_9_M-1-1_S195	O19-D042467-3_9_M-1-1_S196	O2-D042467-3_9_M-1-1_S186	O20-D042467-3_9_M-1-1_S197	O21-D042467-3_9_M-1-1_S198	O22-D042467-3_9_M-1-1_S199	O5-D042467-3_9_M-1-1_S187	P11-D042467-3_9_M-1-1_S203	P14-D042467-3_9_M-1-1_S204	P15-D042467-3_9_M-1-1_S205	P19-D042467-3_9_M-1-1_S206	P20-D042467-3_9_M-1-1_S207	P22-D042467-3_9_M-1-1_S209	P3-D042467-3_9_M-1-1_S200	P21-D042467-3_9_M-1-1_S208	P4-D042467-3_9_M-1-1_S201	P8-D042467-3_9_M-1-1_S202
EXP_ID	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0051_BH2HWLDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX	170907_A00111_0052_AH2HTCDMXX
TAXON	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus
WELL_MAPPING	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467	D042467
