A1-MAA001842-3_38_F-1-1_S149	A11-MAA001842-3_38_F-1-1_S155	A12-MAA001842-3_38_F-1-1_S156	A14-MAA001842-3_38_F-1-1_S157	A15-MAA001842-3_38_F-1-1_S158	A18-MAA001842-3_38_F-1-1_S159	A2-MAA001842-3_38_F-1-1_S150	A22-MAA001842-3_38_F-1-1_S160	A3-MAA001842-3_38_F-1-1_S151	A4-MAA001842-3_38_F-1-1_S152	A5-MAA001842-3_38_F-1-1_S153	A8-MAA001842-3_38_F-1-1_S154	B1-MAA001842-3_38_F-1-1_S161	B18-MAA001842-3_38_F-1-1_S168	B2-MAA001842-3_38_F-1-1_S162	B21-MAA001842-3_38_F-1-1_S169	B3-MAA001842-3_38_F-1-1_S163	B5-MAA001842-3_38_F-1-1_S164	B6-MAA001842-3_38_F-1-1_S165	B8-MAA001842-3_38_F-1-1_S166	B9-MAA001842-3_38_F-1-1_S167	C1-MAA001842-3_38_F-1-1_S170	C17-MAA001842-3_38_F-1-1_S174	C2-MAA001842-3_38_F-1-1_S171	C3-MAA001842-3_38_F-1-1_S172	C5-MAA001842-3_38_F-1-1_S173	D1-MAA001842-3_38_F-1-1_S175	D16-MAA001842-3_38_F-1-1_S178	D3-MAA001842-3_38_F-1-1_S176	D8-MAA001842-3_38_F-1-1_S177	E1-MAA001842-3_38_F-1-1_S179	E10-MAA001842-3_38_F-1-1_S182	E15-MAA001842-3_38_F-1-1_S183	E3-MAA001842-3_38_F-1-1_S180	E7-MAA001842-3_38_F-1-1_S181	F1-MAA001842-3_38_F-1-1_S184	F15-MAA001842-3_38_F-1-1_S189	F16-MAA001842-3_38_F-1-1_S190	F2-MAA001842-3_38_F-1-1_S185	F3-MAA001842-3_38_F-1-1_S186	F4-MAA001842-3_38_F-1-1_S187	F5-MAA001842-3_38_F-1-1_S188	G1-MAA001842-3_38_F-1-1_S191	G16-MAA001842-3_38_F-1-1_S196	G17-MAA001842-3_38_F-1-1_S197	G18-MAA001842-3_38_F-1-1_S198	G19-MAA001842-3_38_F-1-1_S199	G2-MAA001842-3_38_F-1-1_S192	G5-MAA001842-3_38_F-1-1_S193	G6-MAA001842-3_38_F-1-1_S194	G9-MAA001842-3_38_F-1-1_S195	H1-MAA001842-3_38_F-1-1_S200	H18-MAA001842-3_38_F-1-1_S37	H19-MAA001842-3_38_F-1-1_S38	H2-MAA001842-3_38_F-1-1_S201	H3-MAA001842-3_38_F-1-1_S202	H5-MAA001842-3_38_F-1-1_S203	H6-MAA001842-3_38_F-1-1_S204	I1-MAA001842-3_38_F-1-1_S39	I14-MAA001842-3_38_F-1-1_S44	I16-MAA001842-3_38_F-1-1_S45	I19-MAA001842-3_38_F-1-1_S46	I3-MAA001842-3_38_F-1-1_S40	I4-MAA001842-3_38_F-1-1_S41	I5-MAA001842-3_38_F-1-1_S42	I9-MAA001842-3_38_F-1-1_S43	J1-MAA001842-3_38_F-1-1_S47	J11-MAA001842-3_38_F-1-1_S49	J2-MAA001842-3_38_F-1-1_S48	J22-MAA001842-3_38_F-1-1_S50	K1-MAA001842-3_38_F-1-1_S51	K2-MAA001842-3_38_F-1-1_S52	K22-MAA001842-3_38_F-1-1_S59	K3-MAA001842-3_38_F-1-1_S53	K4-MAA001842-3_38_F-1-1_S54	K5-MAA001842-3_38_F-1-1_S55	K6-MAA001842-3_38_F-1-1_S56	K7-MAA001842-3_38_F-1-1_S57	K9-MAA001842-3_38_F-1-1_S58	L1-MAA001842-3_38_F-1-1_S60	L2-MAA001842-3_38_F-1-1_S61	L5-MAA001842-3_38_F-1-1_S62	L8-MAA001842-3_38_F-1-1_S63	L9-MAA001842-3_38_F-1-1_S64	M1-MAA001842-3_38_F-1-1_S65	M10-MAA001842-3_38_F-1-1_S72	M12-MAA001842-3_38_F-1-1_S73	M17-MAA001842-3_38_F-1-1_S74	M2-MAA001842-3_38_F-1-1_S66	M20-MAA001842-3_38_F-1-1_S75	M3-MAA001842-3_38_F-1-1_S67	M5-MAA001842-3_38_F-1-1_S68	M6-MAA001842-3_38_F-1-1_S69	M7-MAA001842-3_38_F-1-1_S70	M9-MAA001842-3_38_F-1-1_S71	N1-MAA001842-3_38_F-1-1_S76	N10-MAA001842-3_38_F-1-1_S83	N11-MAA001842-3_38_F-1-1_S84	N12-MAA001842-3_38_F-1-1_S85	N13-MAA001842-3_38_F-1-1_S86	N15-MAA001842-3_38_F-1-1_S87	N18-MAA001842-3_38_F-1-1_S88	N19-MAA001842-3_38_F-1-1_S89	N2-MAA001842-3_38_F-1-1_S77	N4-MAA001842-3_38_F-1-1_S78	N5-MAA001842-3_38_F-1-1_S79	N6-MAA001842-3_38_F-1-1_S80	N8-MAA001842-3_38_F-1-1_S81	N9-MAA001842-3_38_F-1-1_S82	O1-MAA001842-3_38_F-1-1_S90	O11-MAA001842-3_38_F-1-1_S97	O12-MAA001842-3_38_F-1-1_S98	O13-MAA001842-3_38_F-1-1_S99	O14-MAA001842-3_38_F-1-1_S100	O16-MAA001842-3_38_F-1-1_S101	O2-MAA001842-3_38_F-1-1_S91	O3-MAA001842-3_38_F-1-1_S92	O4-MAA001842-3_38_F-1-1_S93	O6-MAA001842-3_38_F-1-1_S94	O8-MAA001842-3_38_F-1-1_S95	O9-MAA001842-3_38_F-1-1_S96	P1-MAA001842-3_38_F-1-1_S102	P10-MAA001842-3_38_F-1-1_S108	P11-MAA001842-3_38_F-1-1_S109	P12-MAA001842-3_38_F-1-1_S110	P2-MAA001842-3_38_F-1-1_S103	P20-MAA001842-3_38_F-1-1_S111	P21-MAA001842-3_38_F-1-1_S112	P3-MAA001842-3_38_F-1-1_S104	P5-MAA001842-3_38_F-1-1_S105	P8-MAA001842-3_38_F-1-1_S106	P9-MAA001842-3_38_F-1-1_S107	A1-MAA001842-3_38_F-1-1_S149	A11-MAA001842-3_38_F-1-1_S155	A12-MAA001842-3_38_F-1-1_S156	A14-MAA001842-3_38_F-1-1_S157	A15-MAA001842-3_38_F-1-1_S158	A18-MAA001842-3_38_F-1-1_S159	A2-MAA001842-3_38_F-1-1_S150	A22-MAA001842-3_38_F-1-1_S160	A3-MAA001842-3_38_F-1-1_S151	A4-MAA001842-3_38_F-1-1_S152	A5-MAA001842-3_38_F-1-1_S153	A8-MAA001842-3_38_F-1-1_S154	B1-MAA001842-3_38_F-1-1_S161	B18-MAA001842-3_38_F-1-1_S168	B2-MAA001842-3_38_F-1-1_S162	B21-MAA001842-3_38_F-1-1_S169	B3-MAA001842-3_38_F-1-1_S163	B5-MAA001842-3_38_F-1-1_S164	B6-MAA001842-3_38_F-1-1_S165	B8-MAA001842-3_38_F-1-1_S166	B9-MAA001842-3_38_F-1-1_S167	C1-MAA001842-3_38_F-1-1_S170	C17-MAA001842-3_38_F-1-1_S174	C2-MAA001842-3_38_F-1-1_S171	C3-MAA001842-3_38_F-1-1_S172	C5-MAA001842-3_38_F-1-1_S173	D1-MAA001842-3_38_F-1-1_S175	D16-MAA001842-3_38_F-1-1_S178	D3-MAA001842-3_38_F-1-1_S176	D8-MAA001842-3_38_F-1-1_S177	E1-MAA001842-3_38_F-1-1_S179	E10-MAA001842-3_38_F-1-1_S182	E15-MAA001842-3_38_F-1-1_S183	E3-MAA001842-3_38_F-1-1_S180	E7-MAA001842-3_38_F-1-1_S181	F1-MAA001842-3_38_F-1-1_S184	F15-MAA001842-3_38_F-1-1_S189	F16-MAA001842-3_38_F-1-1_S190	F2-MAA001842-3_38_F-1-1_S185	F3-MAA001842-3_38_F-1-1_S186	F4-MAA001842-3_38_F-1-1_S187	F5-MAA001842-3_38_F-1-1_S188	G1-MAA001842-3_38_F-1-1_S191	G16-MAA001842-3_38_F-1-1_S196	G17-MAA001842-3_38_F-1-1_S197	G18-MAA001842-3_38_F-1-1_S198	G19-MAA001842-3_38_F-1-1_S199	G2-MAA001842-3_38_F-1-1_S192	G5-MAA001842-3_38_F-1-1_S193	G6-MAA001842-3_38_F-1-1_S194	G9-MAA001842-3_38_F-1-1_S195	H1-MAA001842-3_38_F-1-1_S200	H18-MAA001842-3_38_F-1-1_S37	H19-MAA001842-3_38_F-1-1_S38	H2-MAA001842-3_38_F-1-1_S201	H3-MAA001842-3_38_F-1-1_S202	H5-MAA001842-3_38_F-1-1_S203	H6-MAA001842-3_38_F-1-1_S204	I1-MAA001842-3_38_F-1-1_S39	I14-MAA001842-3_38_F-1-1_S44	I16-MAA001842-3_38_F-1-1_S45	I19-MAA001842-3_38_F-1-1_S46	I3-MAA001842-3_38_F-1-1_S40	I4-MAA001842-3_38_F-1-1_S41	I5-MAA001842-3_38_F-1-1_S42	I9-MAA001842-3_38_F-1-1_S43	J1-MAA001842-3_38_F-1-1_S47	J11-MAA001842-3_38_F-1-1_S49	J2-MAA001842-3_38_F-1-1_S48	J22-MAA001842-3_38_F-1-1_S50	K1-MAA001842-3_38_F-1-1_S51	K2-MAA001842-3_38_F-1-1_S52	K22-MAA001842-3_38_F-1-1_S59	K3-MAA001842-3_38_F-1-1_S53	K4-MAA001842-3_38_F-1-1_S54	K5-MAA001842-3_38_F-1-1_S55	K6-MAA001842-3_38_F-1-1_S56	K7-MAA001842-3_38_F-1-1_S57	K9-MAA001842-3_38_F-1-1_S58	L1-MAA001842-3_38_F-1-1_S60	L2-MAA001842-3_38_F-1-1_S61	L5-MAA001842-3_38_F-1-1_S62	L8-MAA001842-3_38_F-1-1_S63	L9-MAA001842-3_38_F-1-1_S64	M1-MAA001842-3_38_F-1-1_S65	M10-MAA001842-3_38_F-1-1_S72	M12-MAA001842-3_38_F-1-1_S73	M17-MAA001842-3_38_F-1-1_S74	M2-MAA001842-3_38_F-1-1_S66	M20-MAA001842-3_38_F-1-1_S75	M3-MAA001842-3_38_F-1-1_S67	M5-MAA001842-3_38_F-1-1_S68	M6-MAA001842-3_38_F-1-1_S69	M7-MAA001842-3_38_F-1-1_S70	M9-MAA001842-3_38_F-1-1_S71	N1-MAA001842-3_38_F-1-1_S76	N10-MAA001842-3_38_F-1-1_S83	N11-MAA001842-3_38_F-1-1_S84	N12-MAA001842-3_38_F-1-1_S85	N13-MAA001842-3_38_F-1-1_S86	N15-MAA001842-3_38_F-1-1_S87	N18-MAA001842-3_38_F-1-1_S88	N19-MAA001842-3_38_F-1-1_S89	N2-MAA001842-3_38_F-1-1_S77	N4-MAA001842-3_38_F-1-1_S78	N5-MAA001842-3_38_F-1-1_S79	N6-MAA001842-3_38_F-1-1_S80	N8-MAA001842-3_38_F-1-1_S81	N9-MAA001842-3_38_F-1-1_S82	O1-MAA001842-3_38_F-1-1_S90	O11-MAA001842-3_38_F-1-1_S97	O12-MAA001842-3_38_F-1-1_S98	O13-MAA001842-3_38_F-1-1_S99	O14-MAA001842-3_38_F-1-1_S100	O16-MAA001842-3_38_F-1-1_S101	O2-MAA001842-3_38_F-1-1_S91	O3-MAA001842-3_38_F-1-1_S92	O4-MAA001842-3_38_F-1-1_S93	O6-MAA001842-3_38_F-1-1_S94	O8-MAA001842-3_38_F-1-1_S95	O9-MAA001842-3_38_F-1-1_S96	P1-MAA001842-3_38_F-1-1_S102	P10-MAA001842-3_38_F-1-1_S108	P11-MAA001842-3_38_F-1-1_S109	P12-MAA001842-3_38_F-1-1_S110	P2-MAA001842-3_38_F-1-1_S103	P20-MAA001842-3_38_F-1-1_S111	P21-MAA001842-3_38_F-1-1_S112	P3-MAA001842-3_38_F-1-1_S104	P5-MAA001842-3_38_F-1-1_S105	P8-MAA001842-3_38_F-1-1_S106	P9-MAA001842-3_38_F-1-1_S107
EXP_ID	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0062_BH3FYHDMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX	170921_A00111_0063_AH3G23DMXX
TAXON	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus	mus
WELL_MAPPING	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842	MAA001842
